Ticker,Name,Category,YTD,4W,1Y,3Y,5Y,10Y,Yield,Rating,Neg. Yr
ABNYX,AB Bond Inflation Strategy;Advisor,Inflation-Protected Bond,5.58,-0.9966767935156483,5.85,7.88,5.13,3.16,3.37%,4,Y
ABNTX,AB Bond Inflation Strategy;2,Inflation-Protected Bond,5.33,-1.0186747731683967,5.79,7.88,5.13,3.16,3.57%,4,Y
ANBIX,AB Bond Inflation Strategy;I,Inflation-Protected Bond,5.37,-1.008402431981782,5.81,7.86,5.15,3.16,3.42%,4,Y
AUNYX,AB Municipal Bond Inflation Strategy;Adv,Muni National Short,6.24,-0.09000247989665638,6.53,5.77,4.23,2.65,2.14%,5,Y
AUNOX,AB Municipal Bond Inflation Strategy;1,Muni National Short,6.11,-0.09058178366295422,6.49,5.64,4.1,2.54,2.07%,5,Y
AUNTX,AB Municipal Bond Inflation Strategy;2,Muni National Short,6.3,-0.09049980732326926,6.58,5.77,4.22,2.64,2.17%,5,Y
AUNAX,AB Municipal Bond Inflation Strategy;A,Muni National Short,6.11,-0.1800135437208184,6.28,5.49,3.95,2.37,1.91%,5,Y
AUNCX,AB Municipal Bond Inflation Strategy;C,Muni National Short,5.33,-0.09017338813563812,5.53,4.7,3.18,1.62,1.19%,4,Y
AUUYX,AB Select US Equity Portfolio;Advisor,Large Blend,25.53,-18.981104397167346,29.67,25.42,17.02,15.71,0.08%,4,N
AUUIX,AB Select US Equity Portfolio;I,Large Blend,25.56,-19.16839438355997,29.69,25.43,17.04,15.71,0.09%,4,N
QUAYX,AB Small Cap Growth Portfolio;Advisor,Small Growth,9.45,-12.730286381815414,6.01,33.78,24.28,18.11,0.00%,5,Y
QUASX,AB Small Cap Growth Portfolio;A,Small Growth,9.2,-13.668983007388603,5.73,33.45,23.97,17.81,0.00%,4,Y
QUACX,AB Small Cap Growth Portfolio;C,Small Growth,8.44,-21.591987026392506,4.96,32.46,23.05,16.93,0.00%,4,Y
QUAIX,AB Small Cap Growth Portfolio;I,Small Growth,9.45,-12.775931024046017,6.01,33.78,24.27,18.16,0.00%,5,Y
QUAKX,AB Small Cap Growth Portfolio;K,Small Growth,9.26,-13.393056835701275,5.81,33.54,24.02,17.86,0.00%,4,Y
QUARX,AB Small Cap Growth Portfolio;R,Small Growth,8.82,-14.171555741164896,5.34,32.94,23.49,17.42,0.00%,4,Y
ADGYX,AB Core Opportunities Fund;Advisor,Large Blend,17.46,-12.53613143947214,22.82,22.2,15.81,15.57,0.34%,4,N
ADGIX,AB Core Opportunities Fund;I,Large Blend,19.49,-12.339975523264329,22.86,22.25,15.84,15.6,0.36%,4,N
ARSYX,AB Global Real Estate Investment Fund;Advisor,Global Real Estate,19.3,-0.983796698719615,24.95,12.33,9.27,9.59,0.83%,4,Y
AEEIX,AB Global Real Estate Investment Fund;I,Global Real Estate,19.37,-0.9764507626874839,25.02,12.43,9.38,9.68,0.90%,4,Y
CBSYX,AB Global Risk Allocation Fund;Advisor,Tactical Allocation,9.22,-9.567747929845885,12.06,12.97,7.96,6.73,2.93%,4,Y
CABIX,AB Global Risk Allocation Fund;I,Tactical Allocation,9.24,-9.586371710426784,12.12,13.01,8.03,6.84,2.99%,4,Y
ARIIX,AB Global Real Estate Investment Fund II;I,Global Real Estate,19.99,-2.316603823578644,25.65,12.94,9.89,10.09,1.31%,4,Y
APGYX,AB Large Cap Growth Fund;Advisor,Large Growth,24.31,-1.6528112747821577,28.06,33.62,24.72,20.65,0.00%,5,Y
APGAX,AB Large Cap Growth Fund;A,Large Growth,24.04,-1.9583706222549846,27.74,33.28,24.41,20.36,0.00%,5,Y
APGCX,AB Large Cap Growth Fund;C,Large Growth,23.16,-3.3123550258698766,26.79,32.29,23.48,19.45,0.00%,4,Y
ALLIX,AB Large Cap Growth Fund;I,Large Growth,24.27,-1.6844847480599068,28.02,33.59,24.71,20.71,0.00%,5,Y
ALCKX,AB Large Cap Growth Fund;K,Large Growth,23.9,-1.9245573453499583,27.59,33.15,24.3,20.29,0.00%,5,Y
ABPRX,AB Large Cap Growth Fund;R,Large Growth,23.55,-2.17651235953662,27.2,32.75,23.92,19.93,0.00%,4,Y
AAZAX,AB Arizona Portfolio;A,Muni Single State Interm,2.31,0.08778994649795144,2.5,4.16,3.73,3.48,2.36%,4,Y
AMAAX,AB Massachusetts Portfolio;A,Muni Massachusetts,2.55,0.258173263912627,2.73,4.77,3.77,3.36,2.38%,4,Y
AVAAX,AB Virginia Portfolio;A,Muni Single State Interm,2.43,0.17300608445841736,2.52,4.62,3.86,3.43,2.20%,5,Y
ALCVX,AB California Portfolio;Advisor,Muni California Intermediate,2.37,-0.08680753892762638,2.38,4.87,4.26,3.97,2.68%,5,Y
ALCAX,AB California Portfolio;A,Muni California Intermediate,2.13,-0.08680753892762638,2.12,4.61,4.0,3.7,2.43%,5,Y
ABTYX,AB High Income Municipal Portfolio;Advisor,High Yield Muni,6.31,0.24370212793319726,6.63,7.5,6.79,6.43,3.39%,4,Y
ABTHX,AB High Income Municipal Portfolio;A,High Yield Muni,6.06,0.16234138197320175,6.44,7.22,6.51,6.15,3.14%,4,Y
ALTVX,AB National Portfolio;Advisor,Muni National Interm,2.78,0.1860507698946221,2.87,5.07,4.39,4.01,2.28%,5,Y
ALTHX,AB National Portfolio;A,Muni National Interm,2.44,0.1860507698946221,2.71,4.81,4.13,3.74,2.03%,4,Y
ALNVX,AB New York Portfolio;Advisor,Muni New York Intermediate,3.63,0.0967140109696525,3.86,4.91,4.23,3.52,2.48%,5,Y
ALNYX,AB New York Portfolio;A,Muni New York Intermediate,3.39,0.09680763751882192,3.6,4.65,3.97,3.26,2.24%,4,Y
